step:4042/4768 | loss 0.108455 | train_time:17360.90s | step_avg:4294.06ms
step:4043/4768 | loss 0.109200 | train_time:17365.18s | step_avg:4294.06ms
step:4044/4768 | loss 0.110063 | train_time:17369.46s | step_avg:4294.06ms
step:4045/4768 | loss 0.109600 | train_time:17373.74s | step_avg:4294.05ms
step:4046/4768 | loss 0.109291 | train_time:17378.02s | step_avg:4294.05ms
step:4047/4768 | loss 0.110070 | train_time:17382.30s | step_avg:4294.05ms
step:4048/4768 | loss 0.109279 | train_time:17386.58s | step_avg:4294.04ms
step:4049/4768 | loss 0.109661 | train_time:17390.86s | step_avg:4294.04ms
step:4050/4768 | loss 0.110525 | train_time:17395.14s | step_avg:4294.04ms
step:4051/4768 | loss 0.110899 | train_time:17399.42s | step_avg:4294.03ms
step:4052/4768 | loss 0.109540 | train_time:17403.70s | step_avg:4294.03ms
step:4053/4768 | loss 0.111108 | train_time:17407.98s | step_avg:4294.03ms
step:4054/4768 | loss 0.110380 | train_time:17412.26s | step_avg:4294.02ms
step:4055/4768 | loss 0.111909 | train_time:17416.54s | step_avg:4294.02ms
step:4056/4768 | loss 0.111463 | train_time:17420.82s | step_avg:4294.02ms
step:4057/4768 | loss 0.109658 | train_time:17425.10s | step_avg:4294.01ms
step:4058/4768 | loss 0.109726 | train_time:17429.38s | step_avg:4294.01ms
step:4059/4768 | loss 0.108535 | train_time:17433.66s | step_avg:4294.00ms
step:4060/4768 | loss 0.110202 | train_time:17437.94s | step_avg:4294.00ms
step:4061/4768 | loss 0.109227 | train_time:17442.22s | step_avg:4294.00ms
step:4062/4768 | loss 0.109029 | train_time:17446.50s | step_avg:4293.99ms
step:4063/4768 | loss 0.112382 | train_time:17450.78s | step_avg:4293.99ms
step:4064/4768 | loss 0.109858 | train_time:17455.06s | step_avg:4293.99ms
step:4065/4768 | loss 0.109199 | train_time:17459.34s | step_avg:4293.98ms
step:4066/4768 | loss 0.109089 | train_time:17463.62s | step_avg:4293.98ms
step:4067/4768 | loss 0.110001 | train_time:17467.90s | step_avg:4293.98ms
step:4068/4768 | loss 0.109520 | train_time:17472.18s | step_avg:4293.97ms
step:4069/4768 | loss 0.110980 | train_time:17476.46s | step_avg:4293.97ms
step:4070/4768 | loss 0.110856 | train_time:17480.73s | step_avg:4293.97ms
step:4071/4768 | loss 0.107046 | train_time:17485.01s | step_avg:4293.96ms
step:4072/4768 | loss 0.107877 | train_time:17489.29s | step_avg:4293.96ms
step:4073/4768 | loss 0.111430 | train_time:17493.57s | step_avg:4293.95ms
step:4074/4768 | loss 0.109009 | train_time:17497.85s | step_avg:4293.95ms
step:4075/4768 | loss 0.109418 | train_time:17502.13s | step_avg:4293.95ms
step:4076/4768 | loss 0.112556 | train_time:17506.41s | step_avg:4293.94ms
step:4077/4768 | loss 0.106581 | train_time:17510.69s | step_avg:4293.94ms
step:4078/4768 | loss 0.112303 | train_time:17514.97s | step_avg:4293.94ms
step:4079/4768 | loss 0.112135 | train_time:17519.25s | step_avg:4293.93ms
step:4080/4768 | loss 0.110106 | train_time:17523.53s | step_avg:4293.93ms
